Fecha y Hora de Creación,2024-01-26_14-08-59
Titulo,Enlace,Precios,Vendedor,Detalles,Cantidad,Estado,Oferta,Publicacion,Fecha_Ejecucion,Familia1,Familia2,Familia3,Familia4,Familia5
Aceite de girasol Natura botellasin TACC 1.5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-15-l/p/MLA16010049?pdp_filters=category:MLA114008#searchVariation=MLA16010049&position=4&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,3.725,Mayorista Masivos,Nuevo  |  +50mil vendidos,(638 disponibles),Nuevo  |  +50mil vendidos,No disponible,#1109481795,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Girasol Natura - Botella - 900 mL,https://www.mercadolibre.com.ar/girasol-natura-botella-900-ml/p/MLA16010013?pdp_filters=category:MLA114008#searchVariation=MLA16010013&position=3&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,2.261,Mayorista Masivos,Nuevo  |  +10mil vendidos,(463 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1123869889,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Lira botella900 ml ,https://www.mercadolibre.com.ar/aceite-de-girasol-lira-botella900-ml/p/MLA16010038?pdp_filters=category:MLA114008#searchVariation=MLA16010038&position=1&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,2.479,TAP GROCERY,Nuevo  |  +10mil vendidos,(287 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1147082775,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botella3 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botella3-l/p/MLA16010002?pdp_filters=category:MLA114008#searchVariation=MLA16010002&position=2&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,6.545,ECOMODICO,Nuevo  |  +10mil vendidos,(300 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1131990047,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Natura Girasol Bid. 5l,https://www.mercadolibre.com.ar/aceite-natura-girasol-bid-5l/p/MLA21393491?pdp_filters=category:MLA114008#searchVariation=MLA21393491&position=7&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,12.995,ROXYRO68,Nuevo  |  +1000 vendidos,(9 disponibles),Nuevo  |  +1000 vendidos,No disponible,#1510666850,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite Cañuelas De Girasol 1.5 Litros,https://www.mercadolibre.com.ar/aceite-canuelas-de-girasol-15-litros/p/MLA19838682?pdp_filters=category:MLA114008#searchVariation=MLA19838682&position=6&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,3.499,CAPSULANDIA,Nuevo  |  +5mil vendidos,(114 disponibles),Nuevo  |  +5mil vendidos,No disponible,#1394168923,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite de girasol Natura botellasin TACC 5 l ,https://www.mercadolibre.com.ar/aceite-de-girasol-natura-botellasin-tacc-5-l/p/MLA16010012?pdp_filters=category:MLA114008#searchVariation=MLA16010012&position=5&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,10.990,LUQUENICOLAS097,Nuevo  |  +10mil vendidos,(4 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1398796371,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
"Aceite Girasol Plus Cocinero Vitamina E Omega 9 1,5l",https://www.mercadolibre.com.ar/aceite-girasol-plus-cocinero-vitamina-e-omega-9-15l/p/MLA19538642?pdp_filters=category:MLA114008#searchVariation=MLA19538642&position=8&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,4.209,TAP GROCERY,Nuevo  |  +10mil vendidos,(70 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1157686873,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Aceite De Girasol Plus Cocinero Omega 9 Vitamina E 900ml,https://www.mercadolibre.com.ar/aceite-de-girasol-plus-cocinero-omega-9-vitamina-e-900ml/p/MLA19567150?pdp_filters=category:MLA114008#searchVariation=MLA19567150&position=9&search_layout=stack&type=product&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,2.877,TAP GROCERY,Nuevo  |  +10mil vendidos,(65 disponibles),Nuevo  |  +10mil vendidos,No disponible,#1166887813,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
Caja Aceite Girasol Molinos Cañuelas Vitamina E Mejor Precio,https://articulo.mercadolibre.com.ar/MLA-1387125576-caja-aceite-girasol-molinos-canuelas-vitamina-e-mejor-precio-_JM#position=19&search_layout=stack&type=item&tracking_id=bbde2fe2-82bb-4eaf-b923-e8c90e5f195e,40.371,MEJORPRECIO.COM.AR,Nuevo  |  +100 vendidos,(114 disponibles),Nuevo  |  +100 vendidos,No disponible,#1387125576,2024-01-25 21:04:02,Alimentos y Bebidas,Almacén,Aceites y Vinagres,Aceites
